"Block","Treatment","Density","sp","tag","DBH","Ht","collection","Julian.date","tissue","tissue_biomass","tissue_biomass_lci","tissue_biomass_uci","tissue_biomass_se","starch_fraction","starch_fraction_se","starch_fraction_lci","starch_fraction_uci","starch_fraction_lci2","starch_pool","starch_pool_se","starch_pool_lci","starch_pool_uci","starch_pool_lci2","sugar_fraction","sugar_fraction_se","sugar_fraction_lci","sugar_fraction_uci","sugar_pool","sugar_pool_se","sugar_pool_lci","sugar_pool_uci","NSC_fraction","NSC_fraction_se","NSC_fraction_lci","NSC_fraction_uci","NSC_pool","NSC_pool_se","NSC_pool_lci","NSC_pool_uci"
"B3","C","2m","C","809",2.6,5.3,"2-shoot expansion",156,"Coarse roots",1.16607768234914,0.775167656172997,1.7541200931754,0.24973276454143,0.0738069434880167,0.0120915856130352,0.0516538305733393,0.0990528461764373,0.0516538305733393,0.0860646296037802,0.0232064948042577,0.0405798997874352,0.131549359420125,0.0405798997874352,0.0714074259228088,0.00811933623270552,0.0557810575483379,0.0876088555805436,0.0832666057225866,0.0201902605605769,0.043693695023856,0.122839516421317,0.1488475139032,0.0142444465798886,0.120799841973393,0.176638072566557,0.173567764035675,0.0407143901293616,0.0937675593821261,0.253367968689224
"B3","C","2m","C","810",10.1,8.4,"2-shoot expansion",156,"Coarse roots",6.5071457348946,5.55098314102128,7.62800832563268,0.529853363421276,0.0738069434880167,0.0120915856130352,0.0516538305733393,0.0990528461764373,0.0516538305733393,0.480272537523654,0.0878644281448814,0.308058258359687,0.652486816687622,0.308058258359687,0.0714074259228088,0.00811933623270552,0.0557810575483379,0.0876088555805436,0.464658527033407,0.0649840187225501,0.337289850337209,0.592027203729605,0.1488475139032,0.0142444465798886,0.120799841973393,0.176638072566557,0.968572465244875,0.12170301475476,0.730034556325545,1.2071103741642
"B1","C","2m","C","962",13.15218613,13.4,"2-shoot expansion",156,"Coarse roots",22.7781909725576,15.2616772327253,33.996655549087,4.77933120315349,0.0738069434880167,0.0120915856130352,0.0516538305733393,0.0990528461764373,0.0516538305733393,1.68118865387081,0.44753732332481,0.804015500154186,2.55836180758744,0.804015500154186,0.0714074259228088,0.00811933623270552,0.0557810575483379,0.0876088555805436,1.6265319845285,0.388170150941562,0.865718488683042,2.38734548037396,0.1488475139032,0.0142444465798886,0.120799841973393,0.176638072566557,3.39047709747753,0.781891310985615,1.85797012794572,4.92298406700933
"B1","C","2m","C","964",14.08296844,14.5,"2-shoot expansion",156,"Coarse roots",31.343970396398,19.3797431002962,50.6944016298781,7.98843329836273,0.0738069434880167,0.0120915856130352,0.0516538305733393,0.0990528461764373,0.0516538305733393,2.31340265173702,0.700906590195518,0.9396257349538,3.68717956852023,0.9396257349538,0.0714074259228088,0.00811933623270552,0.0557810575483379,0.0876088555805436,2.2381922442075,0.624628392379696,1.0139205951433,3.46246389327171,0.1488475139032,0.0142444465798886,0.120799841973393,0.176638072566557,4.66547206935935,1.27011894479218,2.17603893756669,7.15490520115202
"B1","C","2m","C","965",5.3,9.2,"2-shoot expansion",156,"Coarse roots",3.26928866145258,2.40862748532471,4.43748500630495,0.517565694127613,0.0738069434880167,0.0120915856130352,0.0516538305733393,0.0990528461764373,0.0516538305733393,0.241296203481844,0.0549720504766609,0.133550984547589,0.3490414224161,0.133550984547589,0.0714074259228088,0.00811933623270552,0.0557810575483379,0.0876088555805436,0.233451487912954,0.0455027944906722,0.144266010711236,0.322636965114671,0.1488475139032,0.0142444465798886,0.120799841973393,0.176638072566557,0.486625489489138,0.0900200037346449,0.310186282169234,0.663064696809042
"B1","C","2m","C","967",13.53698637,12.5,"2-shoot expansion",156,"Coarse roots",21.2697839622468,15.1538228754544,29.8540977757789,3.75007012763378,0.0738069434880167,0.0120915856130352,0.0516538305733393,0.0990528461764373,0.0516538305733393,1.56985774290387,0.377825591327089,0.829319583902779,2.31039590190497,0.829319583902779,0.0714074259228088,0.00811933623270552,0.0557810575483379,0.0876088555805436,1.51882052267829,0.318640468222446,0.89428520496229,2.14335584039428,0.1488475139032,0.0142444465798886,0.120799841973393,0.176638072566557,3.1659544640386,0.635113509264229,1.92113198588071,4.41077694219649
"B1","C","2m","C","968",7.4,10.9,"2-shoot expansion",156,"Coarse roots",5.98399724579135,4.37091231286063,8.1923910786952,0.974867032100656,0.0738069434880167,0.0120915856130352,0.0516538305733393,0.0990528461764373,0.0516538305733393,0.441660546552569,0.102041544833648,0.241659118678619,0.641661974426519,0.241659118678619,0.0714074259228088,0.00811933623270552,0.0557810575483379,0.0876088555805436,0.427301840051138,0.0848913543209155,0.260914785582143,0.593688894520132,0.1488475139032,0.0142444465798886,0.120799841973393,0.176638072566557,0.89070311323964,0.168290068576815,0.560854578829084,1.2205516476502
"B1","C","2m","C","969",14.08580846,11.6,"2-shoot expansion",156,"Coarse roots",20.4163884441369,15.2413127820401,27.3486229869295,3.08859954206361,0.0738069434880167,0.0120915856130352,0.0516538305733393,0.0990528461764373,0.0516538305733393,1.50687122812581,0.336019161117116,0.848273672336259,2.16546878391535,0.848273672336259,0.0714074259228088,0.00811933623270552,0.0557810575483379,0.0876088555805436,1.45788174543599,0.275899814706487,0.917118108611279,1.99864538226071,0.1488475139032,0.0142444465798886,0.120799841973393,0.176638072566557,3.0389286627918,0.543992986361955,1.97270240952237,4.10515491606123
"B1","C","2m","C","970",10.98362417,11.1,"2-shoot expansion",156,"Coarse roots",11.2567983865761,8.77952702773383,14.4330679221943,1.44222982001543,0.0738069434880167,0.0120915856130352,0.0516538305733393,0.0990528461764373,0.0516538305733393,0.830829882374022,0.172793220999166,0.492155169215657,1.16950459553239,0.492155169215657,0.0714074259228088,0.00811933623270552,0.0557810575483379,0.0876088555805436,0.803818996917429,0.137694025841814,0.533938706267474,1.07369928756738,0.1488475139032,0.0142444465798886,0.120799841973393,0.176638072566557,1.67554645435141,0.267946492616292,1.15037132882348,2.20072157987935
"B1","C","2m","C","971",13.08166656,11.6,"2-shoot expansion",156,"Coarse roots",17.2459202618656,13.032038151745,22.8223522840747,2.49752911539024,0.0738069434880167,0.0120915856130352,0.0516538305733393,0.0990528461764373,0.0516538305733393,1.27286866216635,0.278324211961622,0.727353206721574,1.81838411761113,0.727353206721574,0.0714074259228088,0.00811933623270552,0.0557810575483379,0.0876088555805436,1.23148677356983,0.226744423022002,0.787067704446708,1.67590584269296,0.1488475139032,0.0142444465798886,0.120799841973393,0.176638072566557,2.56701235595152,0.445586073149861,1.69366365257779,3.44036105932525
